rowNames	Gene
13	WASH9P
23	MTND2P28
23	MTATP6P1
57	LINC02593
63	LINC02593
64	LINC02593
64	SAMD11
66	LINC02593
76	LINC02593
78	LINC02593
78	SAMD11
79	LINC02593
79	SAMD11
80	LINC02593
81	LINC02593
82	LINC02593
82	SAMD11
88	LINC02593
88	SAMD11
89	LINC02593
89	SAMD11
90	LINC02593
90	SAMD11
90	C1orf159
91	LINC02593
102	LINC01409
102	LINC02593
103	LINC02593
110	LINC02593
110	AL645608.7
116	AL645608.7
125	NOC2L
126	LINC02593
126	SAMD11
141	LINC02593
146	LINC02593
146	SAMD11
147	LINC02593
148	LINC02593
148	SAMD11
149	SCNN1D
184	C1orf159
186	LINC02593
186	RNF223
187	SDF4
208	TAS1R3
210	TAS1R3
210	LINC01770
211	LINC01770
226	LINC01770
242	CPTP
242	LINC01770
245	SCNN1D
247	LINC01786
279	C1orf159
279	CPTP
280	CPTP
284	LINC01770
285	LINC01770
291	CPTP
292	CPTP
292	MXRA8
292	LINC01770
298	CPTP
301	MXRA8
301	LINC01770
303	LINC01770
304	ANKRD65
304	LINC01770
321	AL139287.1
331	LINC01770
333	LINC01770
337	CPTP
337	LINC01770
338	DVL1
338	LINC01770
342	LINC01770
344	LINC01770
393	LINC01770
408	LINC01770
410	VWA1
473	SLC35E2A
496	CDK11A
516	AL109917.1
538	PRKCZ
586	PRKCZ-AS1
676	PRKCZ-AS1
676	FAAP20
729	RER1
741	GABRD
759	PEX10
773	PANK4
827	PLCH2
827	PANK4
828	PLCH2
828	PANK4
869	AL139246.5
890	PANK4
892	PANK4
893	RER1
893	PLCH2
893	PANK4
894	PLCH2
896	RER1
897	AL139246.5
897	TNFRSF14-AS1
898	AL139246.5
906	TTC34
911	TNFRSF14
912	PANK4
912	AL139246.5
912	TNFRSF14-AS1
912	TNFRSF14
927	PANK4
1001	PRDM16-DT
1024	PRDM16-DT
1025	PRDM16-DT
1025	PRDM16
1025	AL512383.1
1042	PRDM16-DT
1042	PRDM16
1042	AL512383.1
1043	PRDM16-DT
1043	AL512383.1
1047	PRDM16-DT
1050	PRDM16-DT
1051	PRDM16-DT
1051	PRDM16
1051	AL512383.1
1052	PRDM16-DT
1052	PRDM16
1052	AL512383.1
1053	PRDM16-DT
1053	PRDM16
1053	AL512383.1
1054	PRDM16-DT
1054	PRDM16
1054	AL512383.1
1055	PRDM16-DT
1055	PRDM16
1055	AL512383.1
1056	PRDM16-DT
1056	PRDM16
1056	AL512383.1
1057	PRDM16-DT
1057	PRDM16
1057	AL512383.1
1058	PRDM16-DT
1059	PRDM16-DT
1060	PRDM16-DT
1060	AL512383.1
1061	PRDM16-DT
1064	PRDM16-DT
1066	AL512383.1
1069	PRDM16-DT
1069	AL512383.1
1071	PRDM16-DT
1075	PRDM16-DT
1081	PRDM16-DT
1091	PRDM16-DT
1097	PRDM16-DT
1097	PRDM16
1097	AL512383.1
1098	PRDM16-DT
1098	PRDM16
1098	AL512383.1
1099	PRDM16-DT
1099	PRDM16
1099	AL512383.1
1100	AL512383.1
1105	AL512383.1
1113	PRDM16-DT
1115	PRDM16-DT
1115	AL512383.1
1116	PRDM16-DT
1116	AL512383.1
1120	PRDM16-DT
1120	AL512383.1
1121	PRDM16-DT
1121	PRDM16
1121	AL512383.1
1137	PRDM16-DT
1137	AL512383.1
1139	PRDM16-DT
1151	AL512383.1
1161	AL512383.1
1162	AL512383.1
1166	AL512383.1
1176	AL512383.1
1324	TP73
1519	AJAP1
1539	AJAP1
1540	AJAP1
1541	AJAP1
1545	AJAP1
1546	AJAP1
1567	AJAP1
1571	AJAP1
1901	ESPN
1930	PLEKHG5
1949	ESPN
1962	RPL22
1962	ESPN
1975	PLEKHG5
1975	KLHL21
1982	ESPN
1982	PLEKHG5
1982	KLHL21
1982	PHF13
1989	ESPN
1989	PLEKHG5
1989	KLHL21
1990	ESPN
1990	PLEKHG5
1990	KLHL21
1993	PLEKHG5
1999	ESPN
2020	ESPN
2020	PLEKHG5
2028	ESPN
2028	KLHL21
2030	ESPN
2033	ESPN
2034	ESPN
2034	PLEKHG5
2034	KLHL21
2038	PLEKHG5
2038	KLHL21
2039	ESPN
2039	PLEKHG5
2039	KLHL21
2044	ESPN
2044	PLEKHG5
2044	KLHL21
2045	ESPN
2045	PLEKHG5
2046	ESPN
2046	PLEKHG5
2104	THAP3
2107	DNAJC11
2126	ZBTB48
2128	KLHL21
2451	AL034417.2
2548	PARK7
2927	RPL7P7
