Chr	Start	End	rowNames	Gene
chr1	629175	629376	22	MTND2P28
chr1	630066	630416	24	MTCO1P12
chr1	631092	631472	26	AL669831.3
chr1	633926	634132	28	AL669831.3
chr1	633926	634132	28	MTCO3P12
chr1	634315	634521	29	MTCO3P12
chr1	778295	778952	31	AL669831.1
chr1	778295	778952	31	LINC01409
chr1	779022	779338	32	AL669831.1
chr1	816971	817484	35	FAM87B
chr1	826833	827678	40	LINC01128
chr1	826833	827678	40	LINC00115
chr1	827759	827959	41	LINC01128
chr1	827759	827959	41	AL669831.3
chr1	827759	827959	41	LINC00115
chr1	869571	870314	52	FAM41C
chr1	876883	877952	58	AL669831.5
chr1	876883	877952	58	FAM41C
chr1	903860	904279	60	AL645608.6
chr1	904283	904600	61	AL645608.6
chr1	904614	904883	62	AL645608.6
chr1	910549	910947	67	AL645608.2
chr1	911225	911448	68	AL645608.2
chr1	913641	913927	70	AL645608.4
chr1	920383	920889	71	LINC02593
chr1	921119	921548	72	LINC02593
chr1	923087	923516	73	SAMD11
chr1	923651	925286	74	SAMD11
chr1	925559	925792	75	SAMD11
chr1	930114	930396	77	SAMD11
chr1	938128	938691	83	SAMD11
chr1	938740	939001	84	SAMD11
chr1	939152	939394	85	SAMD11
chr1	940197	941116	86	SAMD11
chr1	941150	942102	87	SAMD11
chr1	958660	959171	94	NOC2L
chr1	959202	959481	95	NOC2L
chr1	959619	959917	96	NOC2L
chr1	959619	959917	96	KLHL17
chr1	960461	960684	97	KLHL17
chr1	960732	960975	98	KLHL17
chr1	961138	961374	99	KLHL17
chr1	965833	966033	100	PLEKHN1
chr1	966053	967391	101	PLEKHN1
chr1	972859	973704	104	PLEKHN1
chr1	975849	976761	105	PERM1
chr1	982183	982450	106	PERM1
chr1	1000041	1000326	113	HES4
chr1	1000041	1000326	113	ISG15
chr1	1000331	1000963	114	HES4
chr1	1000331	1000963	114	ISG15
chr1	1012854	1013097	120	ISG15
chr1	1013307	1014580	121	ISG15
chr1	1013307	1014580	121	AL645608.1
chr1	1019131	1019357	122	AGRN
chr1	1019369	1019974	123	AGRN
chr1	1019991	1021005	124	AGRN
chr1	1032493	1033341	131	AGRN
chr1	1033358	1033602	132	AGRN
chr1	1033692	1033950	133	AGRN
chr1	1034003	1034334	134	AGRN
chr1	1034352	1034756	135	AGRN
chr1	1058608	1059496	142	AL390719.1
chr1	1059541	1059775	143	AL390719.1
chr1	1063664	1064483	145	AL645608.8
chr1	1063664	1064483	145	AL390719.1
chr1	1073692	1074599	150	RNF223
chr1	1106753	1107267	161	C1orf159
chr1	1116106	1116381	164	C1orf159
chr1	1116441	1116909	165	C1orf159
chr1	1136271	1137255	174	LINC01342
chr1	1165591	1166265	190	MIR200B
chr1	1173481	1174398	193	TTLL10
chr1	1179289	1179782	194	TTLL10
chr1	1179289	1179782	194	TTLL10-AS1
chr1	1184954	1185339	200	TTLL10
chr1	1206430	1207304	209	TNFRSF18
chr1	1213218	1213515	213	TNFRSF4
chr1	1213565	1214270	214	TNFRSF4
chr1	1214455	1214902	215	TNFRSF4
chr1	1231156	1231895	223	B3GALT6
chr1	1231923	1232194	224	SDF4
chr1	1231923	1232194	224	B3GALT6
chr1	1232392	1232594	225	SDF4
chr1	1245302	1245822	229	C1QTNF12
chr1	1246270	1247598	230	C1QTNF12
chr1	1273218	1273770	248	UBE2J2
chr1	1273794	1274018	249	UBE2J2
chr1	1274062	1274580	250	LINC01786
chr1	1274062	1274580	250	UBE2J2
chr1	1274617	1274836	251	LINC01786
chr1	1274617	1274836	251	UBE2J2
chr1	1281188	1281764	252	SCNN1D
chr1	1281768	1282040	253	SCNN1D
chr1	1282126	1282494	254	SCNN1D
chr1	1286115	1286315	259	SCNN1D
chr1	1300107	1300391	264	ACAP3
chr1	1303250	1303480	265	ACAP3
chr1	1305334	1305573	266	ACAP3
chr1	1305644	1305902	267	ACAP3
chr1	1307494	1307735	269	PUSL1
chr1	1307913	1308239	270	ACAP3
chr1	1307913	1308239	270	PUSL1
chr1	1308329	1309452	271	ACAP3
chr1	1308329	1309452	271	PUSL1
chr1	1309468	1309668	272	ACAP3
chr1	1318310	1318577	273	INTS11
chr1	1318859	1319324	274	AL139287.1
chr1	1324229	1325430	275	INTS11
chr1	1324229	1325430	275	CPTP
chr1	1325441	1325899	276	INTS11
chr1	1330371	1331680	277	TAS1R3
chr1	1348872	1350048	290	DVL1
chr1	1355490	1355709	295	MXRA8
chr1	1358497	1359325	299	MXRA8
chr1	1359347	1359639	300	MXRA8
chr1	1375200	1375518	306	AURKAIP1
chr1	1398801	1399252	315	CCNL2
chr1	1398801	1399252	315	MRPL20-AS1
chr1	1399344	1399628	316	CCNL2
chr1	1399344	1399628	316	MRPL20-AS1
chr1	1399650	1400236	317	CCNL2
chr1	1399650	1400236	317	MRPL20-AS1
chr1	1406605	1407185	318	RN7SL657P
chr1	1406605	1407185	318	MRPL20
chr1	1407207	1408099	319	MRPL20
chr1	1419204	1419468	326	AL391244.1
chr1	1419533	1421055	327	AL391244.1
chr1	1421248	1421477	328	ANKRD65
chr1	1425529	1427304	330	TMEM88B
chr1	1431950	1432199	334	LINC01770
chr1	1432300	1432546	335	LINC01770
chr1	1432548	1432787	336	LINC01770
chr1	1433813	1434220	339	VWA1
chr1	1434310	1434839	340	LINC01770
chr1	1434310	1434839	340	VWA1
chr1	1435295	1435794	341	LINC01770
chr1	1435295	1435794	341	VWA1
chr1	1461745	1462316	351	ATAD3C
chr1	1462319	1463139	352	ATAD3C
chr1	1470634	1471342	354	ATAD3B
chr1	1471360	1471848	355	ATAD3B
chr1	1511052	1511292	370	ATAD3A
chr1	1511425	1511901	371	ATAD3A
chr1	1511911	1512206	372	ATAD3A
chr1	1512256	1512522	373	ATAD3A
chr1	1540059	1540527	384	TMEM240
chr1	1540528	1540769	385	TMEM240
chr1	1540782	1541374	386	TMEM240
chr1	1541466	1541666	387	TMEM240
chr1	1573836	1574781	406	AL645728.1
chr1	1573836	1574781	406	SSU72
chr1	1574786	1575568	407	AL645728.1
chr1	1574786	1575568	407	SSU72
chr1	1599135	1600305	422	FNDC10
chr1	1599135	1600305	422	AL691432.4
chr1	1600553	1600800	423	FNDC10
chr1	1614220	1614826	431	MIB2
chr1	1614831	1615037	432	MIB2
chr1	1615282	1615539	433	MIB2
chr1	1615686	1615924	434	MIB2
chr1	1615686	1615924	434	AL691432.2
chr1	1615998	1616378	435	MIB2
chr1	1615998	1616378	435	AL691432.2
chr1	1628855	1632484	437	MIB2
chr1	1628855	1632484	437	MMP23B
chr1	1658522	1659330	442	CDK11B
chr1	1658522	1659330	442	FO704657.1
chr1	1659344	1659544	443	CDK11B
chr1	1692703	1692975	462	SLC35E2B
chr1	1692982	1693520	463	SLC35E2B
chr1	1723859	1724258	470	CDK11A
chr1	1723859	1724258	470	AL031282.1
chr1	1724307	1724564	471	CDK11A
chr1	1724307	1724564	471	AL031282.1
chr1	1724586	1724817	472	CDK11A
chr1	1724586	1724817	472	AL031282.1
chr1	1737823	1738201	477	AL031282.2
chr1	1745986	1746846	485	SLC35E2A
chr1	1758023	1758716	490	NADK
chr1	1758761	1759181	491	NADK
chr1	1759232	1759504	492	NADK
chr1	1777926	1778629	498	NADK
chr1	1778798	1779302	499	NADK
chr1	1779418	1779668	500	NADK
chr1	1779989	1780720	501	NADK
chr1	1832946	1833166	523	GNB1
chr1	1889972	1891585	556	GNB1
chr1	1889972	1891585	556	AL109917.1
chr1	1891604	1892193	557	GNB1
chr1	1918618	1919251	567	TMEM52
chr1	1919288	1919821	568	TMEM52
chr1	1919841	1920169	569	TMEM52
chr1	1959833	1960321	587	CFAP74
chr1	2003435	2003953	602	CFAP74
chr1	2019199	2019516	606	GABRD
chr1	2049473	2050087	616	AL391845.1
chr1	2049473	2050087	616	PRKCZ
chr1	2050124	2050449	617	AL391845.1
chr1	2050124	2050449	617	PRKCZ
chr1	2050505	2051052	618	AL391845.1
chr1	2050505	2051052	618	PRKCZ
chr1	2075019	2075506	630	PRKCZ
chr1	2104319	2105434	650	PRKCZ
chr1	2132777	2132977	668	PRKCZ
chr1	2133170	2133672	669	PRKCZ
chr1	2133748	2134075	670	PRKCZ
chr1	2193918	2194118	701	FAAP20
chr1	2194702	2194950	702	FAAP20
chr1	2194965	2195191	703	FAAP20
chr1	2195253	2195490	704	FAAP20
chr1	2195601	2195801	705	FAAP20
chr1	2204134	2204334	709	FAAP20
chr1	2204400	2205158	710	FAAP20
chr1	2208193	2208860	713	FAAP20
chr1	2212251	2213004	714	FAAP20
chr1	2212251	2213004	714	AL590822.1
chr1	2213131	2213648	715	FAAP20
chr1	2227165	2227587	718	SKI
chr1	2227673	2228009	719	SKI
chr1	2231184	2231600	725	SKI
chr1	2231606	2232193	726	SKI
chr1	2247788	2248321	742	SKI
chr1	2314147	2315071	776	AL590822.3
chr1	2376240	2376662	803	MORN1
chr1	2391035	2391453	809	RER1
chr1	2391506	2392182	810	RER1
chr1	2391506	2392182	810	MORN1
chr1	2392256	2392457	811	RER1
chr1	2392256	2392457	811	MORN1
chr1	2411997	2412492	823	PEX10
chr1	2412540	2412810	824	PEX10
chr1	2412815	2414174	825	PEX10
chr1	2414208	2414672	826	PEX10
chr1	2425237	2425671	829	PLCH2
chr1	2475069	2475415	856	PLCH2
chr1	2475569	2475854	857	PLCH2
chr1	2493834	2494222	863	AL139246.1
chr1	2497241	2497637	867	PLCH2
chr1	2512923	2513581	879	PANK4
chr1	2526154	2526397	882	PANK4
chr1	2526497	2527112	883	PANK4
chr1	2527200	2527400	884	PANK4
chr1	2530235	2530435	886	HES5
chr1	2530824	2531299	887	HES5
chr1	2545982	2546449	895	AL139246.5
chr1	2554955	2557710	901	TNFRSF14-AS1
chr1	2554955	2557710	901	TNFRSF14
chr1	2566220	2566487	903	AL139246.2
chr1	2585395	2585986	913	PRXL2B
chr1	2586333	2587543	914	PRXL2B
chr1	2594024	2594821	916	MMEL1
chr1	2611065	2611622	925	MMEL1
chr1	2629218	2629587	932	MMEL1
chr1	2801624	2801918	954	TTC34
chr1	3067795	3068573	1044	PRDM16
chr1	3067795	3068573	1044	PRDM16-DT
chr1	3068646	3069046	1045	PRDM16
chr1	3068646	3069046	1045	PRDM16-DT
chr1	3069065	3069340	1046	PRDM16
chr1	3069065	3069340	1046	PRDM16-DT
chr1	3127106	3128329	1073	MIR4251
chr1	3132293	3134621	1076	AL008733.1
chr1	3237576	3238036	1119	PRDM16
chr1	3322874	3323772	1159	AL354743.2
chr1	3424296	3425267	1210	PRDM16
chr1	3453478	3454230	1217	ARHGEF16
chr1	3454264	3455197	1218	ARHGEF16
chr1	3496064	3496434	1236	MEGF6
chr1	3530701	3531659	1251	MEGF6
chr1	3531691	3532125	1252	MEGF6
chr1	3610968	3611909	1285	MEGF6
chr1	3611930	3612349	1286	MEGF6
chr1	3624070	3625035	1294	AL513320.1
chr1	3624070	3625035	1294	TPRG1L
chr1	3625064	3625843	1295	AL513320.1
chr1	3649438	3650254	1302	WRAP73
chr1	3650726	3651259	1303	WRAP73
chr1	3651308	3651955	1304	TP73
chr1	3652109	3653177	1305	TP73
chr1	3652109	3653177	1305	WRAP73
chr1	3668812	3669119	1313	AL136528.1
chr1	3669184	3669384	1314	AL136528.1
chr1	3727394	3727600	1347	TP73
chr1	3735765	3737020	1351	AL136528.3
chr1	3735765	3737020	1351	TP73-AS1
chr1	3746581	3746781	1352	TP73-AS1
chr1	3746797	3747309	1353	TP73-AS1
chr1	3747312	3747569	1354	TP73-AS1
chr1	3748086	3749018	1355	TP73-AS1
chr1	3772023	3773261	1363	SMIM1
chr1	3783518	3784081	1373	LRRC47
chr1	3796439	3796699	1381	LRRC47
chr1	3796723	3797064	1382	LRRC47
chr1	3816306	3816588	1389	CEP104
chr1	3856596	3857102	1400	DFFB
chr1	3857135	3857473	1401	CEP104
chr1	3857135	3857473	1401	DFFB
chr1	3857574	3857815	1402	CEP104
chr1	3857574	3857815	1402	DFFB
chr1	3857829	3858078	1403	CEP104
chr1	3899587	3899974	1421	LINC01134
chr1	3900024	3900993	1422	C1orf174
chr1	3900024	3900993	1422	LINC01134
chr1	4654466	4654670	1543	AJAP1
chr1	4710849	4711792	1558	AJAP1
chr1	5481928	5482305	1669	Z98259.2
chr1	5991520	5992353	1791	KCNAB2
chr1	5992369	5992660	1792	KCNAB2
chr1	5992369	5992660	1792	NPHP4
chr1	5992759	5993225	1793	NPHP4
chr1	6025274	6026039	1806	KCNAB2
chr1	6026088	6026377	1807	KCNAB2
chr1	6026475	6027510	1808	KCNAB2
chr1	6034080	6034943	1812	KCNAB2
chr1	6180148	6181348	1862	CHD5
chr1	6199495	6199813	1870	RPL22
chr1	6199929	6200190	1871	RPL22
chr1	6204922	6205139	1872	RNF207
chr1	6205228	6205920	1873	RNF207
chr1	6205228	6205920	1873	AL031847.1
chr1	6205931	6206706	1874	RNF207
chr1	6205931	6206706	1874	AL031847.1
chr1	6208747	6208947	1875	RNF207
chr1	6209064	6209541	1876	RPL22
chr1	6235300	6236178	1886	LINC00337
chr1	6235300	6236178	1886	ICMT
chr1	6236567	6236767	1887	ICMT
chr1	6259552	6261653	1896	GPR153
chr1	6261820	6262020	1897	GPR153
chr1	6358848	6360018	1951	ACOT7
chr1	6384986	6386382	1963	ACOT7
chr1	6392857	6393309	1965	AL031848.2
chr1	6393347	6393591	1966	AL031848.2
chr1	6393347	6393591	1966	ACOT7
chr1	6393673	6393908	1967	ACOT7
chr1	6393954	6394203	1968	ACOT7
chr1	6419841	6420098	1980	HES2
chr1	6420154	6420411	1981	HES2
chr1	6423284	6424055	1983	ESPN
chr1	6424067	6424267	1984	ESPN
chr1	6424652	6424907	1985	HES2
chr1	6424652	6424907	1985	ESPN
chr1	6425034	6425293	1986	HES2
chr1	6425321	6425569	1987	HES2
chr1	6430055	6430414	1991	MIR4252
chr1	6437083	6437628	1992	ESPN
chr1	6439342	6439627	1996	ESPN
chr1	6439752	6440281	1997	ESPN
chr1	6440337	6440958	1998	ESPN
chr1	6446963	6447616	2001	ESPN
chr1	6446963	6447616	2001	AL031848.1
chr1	6447726	6448165	2002	ESPN
chr1	6447726	6448165	2002	AL031848.1
chr1	6448195	6449218	2003	ESPN
chr1	6449244	6449532	2004	ESPN
chr1	6459849	6460359	2007	ESPN
chr1	6460426	6460699	2008	ESPN
chr1	6464474	6464808	2011	TNFRSF25
chr1	6465505	6465761	2013	TNFRSF25
chr1	6465771	6466036	2014	TNFRSF25
chr1	6466054	6466311	2015	TNFRSF25
chr1	6471803	6472409	2017	PLEKHG5
chr1	6485385	6485722	2024	PLEKHG5
chr1	6485757	6486121	2025	PLEKHG5
chr1	6486145	6486521	2026	PLEKHG5
chr1	6486527	6486766	2027	PLEKHG5
chr1	6490461	6491336	2031	PLEKHG5
chr1	6491508	6491841	2032	PLEKHG5
chr1	6496236	6496773	2036	PLEKHG5
chr1	6496981	6497933	2037	PLEKHG5
chr1	6519970	6520272	2048	PLEKHG5
chr1	6520278	6520707	2049	PLEKHG5
chr1	6553838	6554702	2058	NOL9
chr1	6553838	6554702	2058	TAS1R1
chr1	6554727	6555222	2059	NOL9
chr1	6554727	6555222	2059	TAS1R1
chr1	6555261	6555473	2060	NOL9
chr1	6555261	6555473	2060	TAS1R1
chr1	6579233	6579720	2065	ZBTB48
chr1	6579837	6580891	2066	ZBTB48
chr1	6585195	6585832	2068	ZBTB48
chr1	6585923	6586165	2069	ZBTB48
chr1	6586290	6586490	2070	ZBTB48
chr1	6586758	6587242	2071	ZBTB48
chr1	6587930	6588130	2073	ZBTB48
chr1	6588151	6588402	2074	ZBTB48
chr1	6588480	6588721	2075	ZBTB48
chr1	6599739	6600005	2080	KLHL21
chr1	6601444	6603161	2083	KLHL21
chr1	6603166	6603779	2084	KLHL21
chr1	6603961	6604213	2085	KLHL21
chr1	6604230	6604447	2086	KLHL21
chr1	6612680	6613373	2088	PHF13
chr1	6613456	6613690	2089	PHF13
chr1	6613825	6614913	2090	KLHL21
chr1	6624720	6625278	2094	THAP3
chr1	6701759	6702044	2114	DNAJC11
chr1	6702055	6702308	2115	DNAJC11
chr1	6702324	6702524	2116	DNAJC11
chr1	6723450	6724170	2122	LINC01672
chr1	6724579	6724854	2123	LINC01672
chr1	6784589	6784848	2136	CAMTA1
chr1	6784916	6785495	2137	CAMTA1-DT
chr1	6784916	6785495	2137	CAMTA1
chr1	6834280	6834839	2158	AL590128.1
chr1	6835195	6835677	2160	AL590128.1
chr1	6872949	6873196	2176	CAMTA1
chr1	6873275	6873577	2177	CAMTA1
chr1	6873679	6873989	2178	CAMTA1
chr1	7388873	7389806	2298	CAMTA1-AS2
chr1	7770708	7771373	2431	VAMP3
chr1	7771401	7772124	2432	VAMP3
chr1	7783433	7783671	2435	PER3
chr1	7783833	7784894	2436	PER3
chr1	7827070	7827498	2441	Z98884.1
chr1	7854161	7854538	2447	UTS2
chr1	7940729	7941951	2468	TNFRSF9
chr1	7940729	7941951	2468	AL009183.1
chr1	7942181	7943134	2469	AL009183.1
chr1	7943350	7943676	2470	TNFRSF9
chr1	7953722	7954386	2473	PARK7
chr1	7961094	7961360	2475	PARK7
chr1	7961436	7962021	2476	PARK7
chr1	7962046	7962277	2477	PARK7
chr1	7999983	8000389	2496	AL034417.4
chr1	8014997	8015776	2511	ERRFI1
chr1	8015892	8016138	2512	ERRFI1
chr1	8025709	8026164	2517	AL034417.3
chr1	8026196	8027842	2518	ERRFI1
chr1	8026196	8027842	2518	AL034417.3
chr1	8058481	8058762	2532	AL034417.2
chr1	8059345	8059670	2533	AL034417.2
chr1	8201285	8201549	2608	LINC01714
chr1	8202203	8202922	2609	LINC01714
chr1	8355253	8355453	2676	RERE
chr1	8363269	8363515	2680	RERE
chr1	8364233	8365190	2681	RERE
chr1	8423305	8425398	2714	RERE-AS1
chr1	8423305	8425398	2714	RERE
chr1	8425460	8425660	2715	RERE-AS1
chr1	8425460	8425660	2715	RERE
chr1	8525278	8526219	2764	RERE
chr1	8702798	8703671	2850	RERE
chr1	8816828	8817375	2902	RERE
chr1	8817583	8817836	2903	RERE
chr1	8817845	8818172	2904	RERE
chr1	8829189	8830152	2907	RPL23AP19
chr1	8848843	8849162	2913	RERE
chr1	8849230	8849489	2914	RERE
chr1	8871703	8871903	2928	ENO1
chr1	8877925	8878603	2930	ENO1-AS1
chr1	8877925	8878603	2930	ENO1
chr1	8878624	8878887	2931	ENO1-AS1
chr1	8878624	8878887	2931	ENO1
chr1	8878921	8879665	2932	ENO1
chr1	8879962	8880355	2933	ENO1
chr1	8908123	8908323	2947	AL139415.1
chr1	8908380	8908640	2948	AL139415.1
chr1	9069135	9069929	3022	SLC2A5
chr1	9071625	9071949	3023	SLC2A5
chr1	9088288	9088682	3036	SLC2A5
chr1	9110590	9111427	3046	GPR157
